user_id,name,email_address,username,date_of_birth,gender,location,membership_start_date,membership_end_date,subscription_plan,payment_information,renewal_status,usage_frequency,purchase_history,favorite_genres,devices_used,engagement_metrics,feedback_ratings,customer_support_interactions,age,tenure_days,days_since_start,days_to_expiry,usage_score,engagement_score_num,support_interaction_rate,feedback_x_support,behavior_score,support_intensity,engagement_score,plan_type_num,plan_tenure_interaction,feedback_bucket,loyalty_score,loyalty_segment,expiry_urgency,engagement_per_day,support_vs_engagement,is_expiring_soon,high_support,is_monthly,low_engagement,new_customer,expiry_risk,payment_risk,monthly_user,churn_risk_score,engagement_vs_support,engagement_drop,norm_engagement_drop,norm_support_ratio,norm_feedback,churn_probability,churn_risk_percent,risk_level,churn,predicted_churn_prob,predicted_churn,biz_user_id,biz_name,biz_email_address,biz_username,biz_date_of_birth,biz_gender,biz_location,biz_membership_start_date,biz_membership_end_date,biz_subscription_plan,biz_predicted_churn,biz_churn_probability,biz_churn_risk_percent,biz_leave_probability_percent,biz_risk_level,biz_outcome,biz_loyalty_score,biz_engagement_vs_support,biz_monthly_user,biz_new_customer,biz_high_support,biz_low_engagement,biz_days_to_expiry,biz_feedback_ratings,biz_churn,biz_predicted_churn.1,biz_retention_strategy,biz_cross_recommendation
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,71.9,365,456,-91,2,2,0.00821917808219178,10.8,7.6,0.00819672131147541,0.6773333333333333,2,730,Average,0.7172,Medium,91,0.0018506375227686704,1.7885532591414943,1,0,0,0,0,1,0,0,0.5,0.16933333333333334,0.0018506375227686704,0.32291447996699874,0.24801268420986167,0.2800001439999712,0.31162060422702026,31.162060422702027,Medium,0,0.31162060422702026,0,1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,0,0.3009708048805031,30.1,30.1,Low,About to Leave,0.7172,0.1693333333333333,0,0,0,0,-91,3.6,0,0,Send renewal reminder | Recommend personalized content,
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,46.8,365,464,-99,2,2,0.019178082191780823,26.599999999999998,7.8,0.01912568306010929,0.6853333333333333,1,365,Average,0.6876000000000001,Medium,99,0.0018724954462659381,4.1534810126582276,1,1,1,0,0,1,0,1,0.8500000000000001,0.08566666666666667,0.0018724954462659381,0.3149174068957429,0.5759492872236397,0.2400001519999696,0.5893708938414287,58.93708938414287,Medium,0,0.5893708938414287,0,2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,0,0.5929883907169322,59.3,59.3,Medium,About to Leave,0.6876000000000001,0.0856666666666666,1,0,1,0,-99,3.8,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Recommend personalized content,
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,30.4,365,367,-2,2,1,0.021917808219178082,26.4,6.3,0.02185792349726776,0.532,1,365,Poor,0.6115999999999999,Low,2,0.001453551912568306,5.221932114882507,1,1,1,0,0,1,0,1,0.8500000000000001,0.059111111111111114,0.001453551912568306,0.4681946407614813,0.7241078195207566,0.3400001319999737,0.6248398069913315,62.48398069913315,Medium,0,0.6248398069913315,0,3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,0,0.6354049709770655,63.54,63.54,Medium,About to Leave,0.6115999999999999,0.0591111111111111,1,0,1,0,-2,3.3,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Collect feedback and offer service recovery | Recommend personalized content,
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,60.3,365,447,-82,2,3,0.019178082191780823,23.099999999999998,8.3,0.01912568306010929,0.7986666666666667,1,365,Poor,0.7016000000000001,Medium,82,0.0021821493624772314,3.8917716827279465,1,1,1,0,0,1,1,1,0.8500000000000001,0.09983333333333334,0.0021821493624772314,0.20162553838628394,0.5396589318389033,0.3400001319999737,0.5825050769892676,58.250507698926754,Medium,0,0.5825050769892676,0,4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,0,0.5958016559518612,59.58,59.58,Medium,About to Leave,0.7016000000000001,0.0998333333333333,1,0,1,0,-82,3.3,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Collect feedback and offer service recovery | Recommend personalized content,
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1,63.9,365,426,-61,3,1,0.0027397260273972603,4.3,8.3,0.00273224043715847,0.7053333333333334,2,730,Good,0.7736000000000001,Very very Loyal,61,0.0019271402550091075,0.5863956215793589,1,0,0,0,0,1,0,0,0.5,0.3526666666666667,0.0019271402550091075,0.2949247242176031,0.08131351491686369,0.14000017199996562,0.27303538969152674,27.303538969152676,Low,0,0.27303538969152674,0,5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,0,0.2522618546626952,25.23,25.23,Low,Loyal,0.7736000000000001,0.3526666666666667,0,0,0,0,-61,4.3,0,0,Send renewal reminder | Recommend personalized content,Recommend premium Drama bundle | Recommend lifestyle and family content pack | Recommend family multi-screen plan | Offer loyalty reward / premium upsell
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,70.6,365,456,-91,1,1,0.005479452054794521,7.6,5.8,0.00546448087431694,0.4186666666666667,1,365,Average,0.6576000000000001,Low,91,0.0011438979963570128,1.4097744360902256,1,0,1,1,0,1,1,1,0.7,0.13955555555555557,0.0011438979963570128,0.5814865092709403,0.1954886946967456,0.2400001519999696,0.6301267569341114,63.01267569341113,Medium,0,0.6301267569341114,0,6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,0,0.6335716217797441,63.36,63.36,Medium,About to Leave,0.6576000000000001,0.1395555555555555,1,0,0,1,-91,3.8,1,0,Send renewal reminder | Offer Annual Plan discount | Trigger engagement campaign | Recommend personalized content,
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,22.2,365,372,-7,3,2,0.0273972602739726,44.0,9.4,0.0273224043715847,0.8426666666666668,1,365,Good,0.7288000000000001,high,7,0.0023023679417122044,5.426917510853835,1,1,1,0,0,1,1,1,0.8500000000000001,0.07660606060606062,0.0023023679417122044,0.15764163649437635,0.7525324571538977,0.12000017599996471,0.579026865251497,57.902686525149704,Medium,0,0.579026865251497,0,7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,0,0.5717398768370976,57.17,57.17,Medium,About to Leave,0.7288000000000001,0.0766060606060606,1,0,1,0,-7,4.4,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Recommend personalized content,
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,78.5,365,424,-59,2,2,0.01643835616438356,21.6,7.6,0.01639344262295082,0.6773333333333333,1,365,Average,0.6872,Medium,59,0.0018506375227686704,3.5771065182829886,1,1,1,0,0,1,0,1,0.8500000000000001,0.09676190476190476,0.0018506375227686704,0.32291447996699874,0.49602536841972333,0.2800001439999712,0.5850728160273467,58.50728160273467,Medium,0,0.5850728160273467,0,8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,0,0.6072218697113322,60.72,60.72,Medium,About to Leave,0.6872,0.0967619047619047,1,0,1,0,-59,3.6,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Recommend personalized content,
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,74.3,365,371,-6,3,2,0.021917808219178082,32.0,9.0,0.02185792349726776,0.8266666666666668,2,730,Good,0.728,high,6,0.002258652094717669,4.37956204379562,1,1,0,0,0,1,1,0,0.65,0.09185185185185187,0.002258652094717669,0.17363578263688806,0.6072991858608389,0.200000159999968,0.42092438865980036,42.092438865980036,Medium,0,0.42092438865980036,0,9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,0,0.4185839924765904,41.86,41.86,Medium,About to Leave,0.728,0.0918518518518518,0,0,1,0,-6,4.0,0,0,Send renewal reminder | Assign priority support | Recommend personalized content,
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,61.8,365,401,-36,3,3,0.01643835616438356,29.400000000000002,10.9,0.01639344262295082,0.9960000000000001,1,365,Excellent,0.8348000000000002,Very very Loyal,36,0.002721311475409836,3.006012024048096,1,1,1,0,0,1,0,1,0.8500000000000001,0.1422857142857143,0.002721311475409836,0.004364402628637909,0.4168336095337421,0.020000195999960724,0.5249481045091429,52.49481045091429,Medium,0,0.5249481045091429,0,10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,0,0.5278103012688473,52.78,52.78,Medium,About to Leave,0.8348000000000002,0.1422857142857143,1,0,1,0,-36,4.9,1,0,Send renewal reminder | Offer Annual Plan discount | Assign priority support | Recommend personalized content,
